n,d,k,queries,impl,build_time_s,query_time_s,latency_ms,qps
10000,8,10,2000,PCCT,1.3685,0.0178,0.0089,112276.0
10000,8,10,2000,scipy_ckdtree,0.0017,0.0372,0.0186,53725.7
10000,8,10,2000,sklearn_balltree,0.0027,0.0752,0.0376,26606.8
10000,8,50,2000,PCCT,1.3413,0.0284,0.0142,70517.9
10000,8,50,2000,scipy_ckdtree,0.0018,0.0734,0.0367,27247.1
10000,8,50,2000,sklearn_balltree,0.0027,0.0933,0.0467,21427.1
50000,8,10,2000,PCCT,26.6446,0.0575,0.0287,34809.5
50000,8,10,2000,scipy_ckdtree,0.0095,0.0659,0.0329,30365.9
50000,8,10,2000,sklearn_balltree,0.0167,0.3523,0.1762,5676.9
50000,8,50,2000,PCCT,26.6061,0.0836,0.0418,23916.0
50000,8,50,2000,scipy_ckdtree,0.0091,0.1345,0.0672,14871.4
50000,8,50,2000,sklearn_balltree,0.0182,0.4406,0.2203,4539.2
100000,8,10,2000,PCCT,110.7621,0.107,0.0535,18683.7
100000,8,10,2000,scipy_ckdtree,0.0193,0.0851,0.0426,23493.2
100000,8,10,2000,sklearn_balltree,0.0373,0.7532,0.3766,2655.2
100000,8,50,2000,PCCT,113.662,0.1544,0.0772,12951.3
100000,8,50,2000,scipy_ckdtree,0.0194,0.1995,0.0997,10025.8
100000,8,50,2000,sklearn_balltree,0.0365,0.7396,0.3698,2704.2
200000,8,10,2000,PCCT,574.6052,0.2607,0.1304,7670.3
200000,8,10,2000,scipy_ckdtree,0.0487,0.2709,0.1354,7383.8
200000,8,10,2000,sklearn_balltree,0.0919,2.4182,1.2091,827.1
200000,8,50,2000,PCCT,600.2118,0.3283,0.1641,6092.7
200000,8,50,2000,scipy_ckdtree,0.0505,0.542,0.271,3689.8
200000,8,50,2000,sklearn_balltree,0.087,3.5192,1.7596,568.3
10000,64,10,2000,PCCT,1.0525,0.0302,0.0151,66294.1
10000,64,10,2000,scipy_ckdtree,0.0031,0.6112,0.3056,3272.4
10000,64,10,2000,sklearn_balltree,0.0168,0.4409,0.2205,4536.0
10000,64,50,2000,PCCT,1.0833,0.0554,0.0277,36087.9
10000,64,50,2000,scipy_ckdtree,0.0036,0.6414,0.3207,3118.2
10000,64,50,2000,sklearn_balltree,0.0129,0.4531,0.2265,4414.3
50000,64,10,2000,PCCT,7.4721,0.1126,0.0563,17765.4
50000,64,10,2000,scipy_ckdtree,0.0299,13.3107,6.6554,150.3
50000,64,10,2000,sklearn_balltree,0.1221,7.5021,3.751,266.6
50000,64,50,2000,PCCT,7.4689,0.2231,0.1116,8962.7
50000,64,50,2000,scipy_ckdtree,0.0313,12.9669,6.4835,154.2
50000,64,50,2000,sklearn_balltree,0.1464,7.0288,3.5144,284.5
100000,64,10,2000,PCCT,20.3041,0.3334,0.1667,5999.7
100000,64,10,2000,scipy_ckdtree,0.0903,36.5284,18.2642,54.8
100000,64,10,2000,sklearn_balltree,0.38,26.8314,13.4157,74.5
100000,64,50,2000,PCCT,20.5343,0.657,0.3285,3043.9
100000,64,50,2000,scipy_ckdtree,0.0923,36.7583,18.3791,54.4
100000,64,50,2000,sklearn_balltree,0.3738,26.7014,13.3507,74.9
200000,64,10,2000,PCCT,64.2106,0.7091,0.3545,2820.5
200000,64,10,2000,scipy_ckdtree,0.2296,80.5317,40.2659,24.8
200000,64,10,2000,sklearn_balltree,1.1011,59.9885,29.9943,33.3
200000,64,50,2000,PCCT,63.5499,1.4155,0.7077,1413.0
200000,64,50,2000,scipy_ckdtree,0.24,80.3812,40.1906,24.9
200000,64,50,2000,sklearn_balltree,1.1205,60.1613,30.0806,33.2
